"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
,65 years and over,599,573,467,78,4.3,81.6,4.3,454,75.9,4.3,79.3,4.2
NEW HAMPSHIRE,Total,"1,144","1,096",856,74.9,3.9,78.1,3.4,788,68.9,3.8,71.9,3.4
,18 to 24 years,112,103,74,66.5,11.3,72.1,10.7,59,52.9,12.2,57.4,11.7
,25 to 34 years,162,150,101,62.5,11,67.4,9.8,99,61.2,11,65.9,9.8
,35 to 44 years,199,188,142,71.3,7.5,75.6,7.5,136,68.3,7.5,72.4,7.5
,45 to 64 years,391,378,304,77.9,5.2,80.5,4.7,279,71.3,5.5,73.7,5.1
,65 years and over,281,278,235,83.5,4.5,84.4,4.4,216,76.8,4.8,77.6,4.8
NEW JERSEY,Total,"7,282","6,323","5,175",71.1,3.2,81.9,2.7,"4,581",62.9,3.2,72.5,2.8
,18 to 24 years,784,669,469,59.9,8.8,70.2,8.1,350,44.7,7.7,52.4,7.8
,25 to 34 years,"1,232",968,713,57.9,6.8,73.6,6.4,596,48.4,6.6,61.6,6.5
,35 to 44 years,"1,193",997,783,65.7,6.6,78.6,5.7,690,57.8,7,69.2,6.7
,45 to 64 years,"2,274","2,001","1,705",75,4.2,85.2,3.5,"1,515",66.6,4.3,75.7,3.8
,65 years and over,"1,800","1,688","1,505",83.6,3.5,89.1,3,"1,430",79.4,4.1,84.7,3.7
NEW MEXICO,Total,"1,645","1,491","1,135",69,3.4,76.1,3.3,984,59.8,3.8,66,3.7
,18 to 24 years,202,185,97,48.1,8.3,52.5,8.8,81,40.1,8.6,43.8,8.9
,25 to 34 years,269,239,164,60.8,8.1,68.5,8.2,128,47.4,9.1,53.4,9.3
,35 to 44 years,260,226,179,68.7,7,79.1,7.2,152,58.6,6.7,67.4,7.1
,45 to 64 years,489,434,343,70,5.3,78.9,4.3,297,60.8,5.5,68.4,5.2
,65 years and over,425,407,353,83.1,3.2,86.8,3,326,76.8,3.6,80.2,3.5
NEW YORK,Total,"15,392","13,667","9,051",58.8,2.5,66.2,2.7,"8,091",52.6,2.4,59.2,2.6
,18 to 24 years,"1,775","1,570",767,43.2,6.2,48.9,6.6,646,36.4,6.1,41.2,6.7
,25 to 34 years,"2,528","2,190","1,305",51.6,4.3,59.6,4.7,"1,087",43,4.4,49.6,5
,35 to 44 years,"2,605","2,216","1,423",54.6,4.8,64.2,5,"1,309",50.2,4.8,59.1,5.1
